Рік,Україна,США
2004,47.980,292.805
2005,47.586,295.517
2006,47.279,298.380
2007,47.063,301.231
2008,46.819,304.094
2009,46.624,306.772
2010,46.456,309.378
2011,46.308,311.839
2012,46.210,314.339
2013,46.127,316.726
2014,45.972,319.258
2015,45.785,321.815
2016,45.617,324.353
2017,45.436,326.609
2018,45.209,328.530
2019,44.957,330.226
2020,44.680,331.578
2021,44.299,332.099
2022,41.049,334.017
2023,37.733,336.806
