Country Name,Country Code,Series Name,Series Code,2015 [YR2015]
Djibouti,DJI,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-143832186.404533
Dominica,DMA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-18664593.2496296
Dominican Republic,DOM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-2204900000
Early-demographic dividend,EAR,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
East Asia & Pacific,EAS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
East Asia & Pacific (excluding high income),EAP,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
East Asia & Pacific (IDA & IBRD countries),TEA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Ecuador,ECU,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1322701337.30748
"Egypt, Arab Rep.",EGY,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-6743500000
El Salvador,SLV,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-396350024.042298
Equatorial Guinea,GNQ,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Eritrea,ERI,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Estonia,EST,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,140346638.373735
Eswatini,SWZ,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-32719601.2085192
Ethiopia,ETH,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-2626517918.313
Euro area,EMU,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,272445184999.938
Europe & Central Asia,ECS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Europe & Central Asia (excluding high income),ECA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Europe & Central Asia (IDA & IBRD countries),TEC,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
European Union,EUU,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Faroe Islands,FRO,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Fiji,FJI,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-239314277.211572
Finland,FIN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-18023726570.0924
Fragile and conflict affected situations,FCS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
France,FRA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,36130892033.2982
French Polynesia,PYF,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-3267219.21939577
Gabon,GAB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-25253212.3377691
"Gambia, The",GMB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-74230000
Georgia,GEO,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-1419607447.2
Germany,DEU,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,56842205697.6296
Ghana,GHA,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-2970893676.55992
Gibraltar,GIB,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,..
Greece,GRC,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,313664376.493594
